"dt_referencia"|"hr_referencia"|"tot_alo"|"tot_cpc"|"tot_venda"|"alo_acionamento"|"cpc_alo"|"venda_cpc"|"cpc_acionamento"|"venda_acionamento"
"2016-08-01"|"08"|0|0|0|0.00|0|0|0.00|0.00
"2016-08-01"|"09"|225|55|12|18.46|24.44|21.82|4.51|0.98
"2016-08-01"|"10"|293|96|15|19.62|32.76|15.63|6.43|1.00
"2016-08-01"|"11"|442|116|11|18.56|26.24|9.48|4.87|0.46
"2016-08-01"|"12"|455|150|27|18.29|32.97|18.00|6.03|1.09
"2016-08-01"|"13"|542|137|18|20.31|25.28|13.14|5.13|0.67
"2016-08-01"|"14"|583|126|16|18.96|21.61|12.70|4.10|0.52
"2016-08-01"|"15"|407|95|16|17.12|23.34|16.84|4.00|0.67
"2016-08-01"|"16"|343|108|20|16.67|31.49|18.52|5.25|0.97
"2016-08-01"|"17"|301|79|20|18.34|26.25|25.32|4.81|1.22
"2016-08-01"|"18"|311|85|15|22.14|27.33|17.65|6.05|1.07
"2016-08-01"|"19"|305|99|18|19.27|32.46|18.18|6.25|1.14
"2016-08-01"|"20"|243|87|21|18.54|35.80|24.14|6.64|1.60
"2016-08-01"|"21"|0|0|0|0.00|0|0|0.00|0.00
"2016-08-02"|"08"|3|0|0|15.00|0.00|0|0.00|0.00
"2016-08-02"|"09"|373|98|23|21.12|26.27|23.47|5.55|1.30
"2016-08-02"|"10"|397|105|21|14.02|26.45|20.00|3.71|0.74
"2016-08-02"|"11"|389|117|23|12.37|30.08|19.66|3.72|0.73
"2016-08-02"|"12"|505|137|23|18.53|27.13|16.79|5.03|0.84
"2016-08-02"|"13"|565|163|36|18.51|28.85|22.09|5.34|1.18
"2016-08-02"|"14"|477|115|21|8.80|24.11|18.26|2.12|0.39
"2016-08-02"|"15"|380|99|12|18.38|26.05|12.12|4.79|0.58
"2016-08-02"|"16"|388|106|21|17.31|27.32|19.81|4.73|0.94
"2016-08-02"|"17"|344|76|17|17.00|22.09|22.37|3.75|0.84
